em,_company_name,link,ticker,market_id,market_name
29,Аэрофлот,https://www.finam.ru/quote/moex/aflt/,AFLT,1,МосБиржа акции
19043,ВТБ ао,https://www.finam.ru/quote/moex/vtbr/,VTBR,1,МосБиржа акции
16842,ГАЗПРОМ ао,https://www.finam.ru/quote/moex/gazp/,GAZP,1,МосБиржа акции
795,ГМКНорНик,https://www.finam.ru/quote/moex/gmkn/,GMKN,1,МосБиржа акции
8,ЛУКОЙЛ,https://www.finam.ru/quote/moex/lkoh/,LKOH,1,МосБиржа акции
15523,МТС-ао,https://www.finam.ru/quote/moex/mtss/,MTSS,1,МосБиржа акции
17086,Магнит ао,https://www.finam.ru/quote/moex/mgnt/,MGNT,1,МосБиржа акции
152798,МосБиржа,https://www.finam.ru/quote/moex/moex/,MOEX,1,МосБиржа акции
17046,НЛМК ао,https://www.finam.ru/quote/moex/nlmk/,NLMK,1,МосБиржа акции
17273,Роснефть,https://www.finam.ru/quote/moex/rosn/,ROSN,1,МосБиржа акции
7,Ростел -ао,https://www.finam.ru/quote/moex/rtkm/,RTKM,1,МосБиржа акции
20266,РусГидро,https://www.finam.ru/quote/moex/hydr/,HYDR,1,МосБиржа акции
3,Сбербанк,https://www.finam.ru/quote/moex/sber/,SBER,1,МосБиржа акции
16136,СевСт-ао,https://www.finam.ru/quote/moex/chmf/,CHMF,1,МосБиржа акции
4,Сургнфгз,https://www.finam.ru/quote/moex/sngs/,SNGS,1,МосБиржа акции
17123,Полюс,https://www.finam.ru/quote/moex/plzl/,PLZL,1,МосБиржа акции
388383,Yandex clA,https://www.finam.ru/quote/moex/yndx/,YNDX,1,МосБиржа акции
17370,Новатэк ао,https://www.finam.ru/quote/moex/nvtk/,NVTK,1,МосБиржа акции
825,Татнфт 3ао,https://www.finam.ru/quote/moex/tatn/,TATN,1,МосБиржа акции
13,Сургнфгз-п,https://www.finam.ru/quote/moex/sngsp/,SNGSP,1,МосБиржа акции
1012,Транснф ап,https://www.finam.ru/quote/moex/trnfp/,TRNFP,1,МосБиржа акции
